energy_eV,wavelength_nm,alpha_cm1,alpha_m1,n,k,n_raw,k_raw
1.05,1180.8,7.218205250205528e-05,0.007218205250205528,2.8134023736249936,6.78260307608158e-10,2.8525116882358614,0.4014684689016102
1.075,1153.339534883721,0.00019621116165721293,0.019621116165721292,2.758336470706533,1.8008258628773083e-09,2.795506402681409,0.46102228518017785
1.1,1127.1272727272726,0.0005333572352736459,0.053335723527364584,2.6777175305828846,4.783898759749445e-09,2.7131735367487244,0.4846556927485551
1.125,1102.08,0.0014498152807215022,0.14498152807215023,2.6004315077006277,1.2715007621863198e-08,2.635352872330711,0.46127352157015156
1.1500000000000001,1078.1217391304347,0.003941006532207522,0.3941006532207522,2.5531721150887803,3.3811605163593695e-08,2.588677601969663,0.4071335492678123
1.175,1055.1829787234042,0.010712766442338068,1.0712766442338069,2.5407295576276216,8.995395122835124e-08,2.577331144166169,0.34742528216710533
1.2000000000000002,1033.1999999999998,0.029120318352733578,2.912031835273358,2.553390378699291,2.3942602037582554e-07,2.5912129867307034,0.29713169235517395
1.225,1012.1142857142855,0.07915723221717784,7.9157232217177835,2.5803324944940504,6.375452086019944e-07,2.619390886149283,0.26020686855255243
1.25,991.872,0.21517166592706666,21.517166592706666,2.61453176988605,1.698367004256648e-06,2.654839175248261,0.23552716708029126
1.2750000000000001,972.4235294117645,0.5848972294888087,58.489722948880875,2.652367620823584,4.526117809534605e-06,2.6939586338384647,0.22082939304541307
1.3,953.7230769230769,1.589915510435463,158.9915510435463,2.6922646823394225,1.206666256829345e-05,2.7351956464024374,0.2141838558314981
1.3250000000000002,935.7283018867922,4.321838440801931,432.18384408019307,2.733715500500406,3.218171054067998e-05,2.77806158442474,0.2143307417439042
1.35,918.3999999999999,11.747974899167618,1174.7974899167618,2.7767348826164353,8.58589782497653e-05,2.822587896646568,0.22067381878169817
1.375,901.7018181818181,31.934306689600206,3193.4306689600207,2.8215726942450785,0.00022914546583391665,2.869036621869629,0.2332287238508474
1.4000000000000001,885.5999999999999,86.80644557877883,8680.644557877884,2.868539829852935,0.0006117590637813697,2.9177230329261223,0.25262164766228645
1.425,870.0631578947367,235.9643836099127,23596.43836099127,2.917855570631842,0.001633759273726887,2.9688517731122297,0.28016664810721037
1.4500000000000002,855.062068965517,641.4176961303685,64141.76961303686,2.9694172332502276,0.004364448867471573,3.0222656839192066,0.3180288732106379
1.475,840.5694915254236,1743.5540678432399,174355.40678432398,3.0223693601427204,0.011662720657047838,3.0769691747486325,0.36945608988522594
1.5,826.56,4739.471339554112,473947.1339554112,3.074243284632475,0.031174185605239515,3.1301821073610343,0.4389601636175734
1.5250000000000001,813.0098360655736,12883.218818812458,1288321.8818812459,3.1193332829115943,0.08335103827645826,3.175570168051376,0.5320003686256668
1.55,799.8967741935484,35020.21960723939,3502021.9607239394,3.146084378468353,0.22291723187960474,3.200487750871027,0.6528888446554179
1.5750000000000002,787.1999999999998,95194.82658700449,9519482.65870045,3.134763898977807,0.5963335771660457,3.1838639901444554,0.7983695308180155
1.6,774.8999999999999,146631.93417363663,14663193.417363664,3.0615449890135813,0.9042011500513409,3.1016763349329315,0.9458988247603342
1.625,762.9784615384615,166376.02552573677,16637602.552573677,2.918811839173386,1.0101685762776058,2.9493917356429735,1.0487114046672088
1.6500000000000001,751.4181818181817,172573.49099120914,17257349.099120915,2.740242645366159,1.0319213901665811,2.7656189800621664,1.0624414538599778
1.675,740.2029850746268,163737.91627586854,16373791.627586855,2.587019675393737,0.9644748834854726,2.6130477814648803,0.9868230379447643
1.7000000000000002,729.3176470588234,145872.29449844023,14587229.449844023,2.5003658736381196,0.8466040999511606,2.5304407424806907,0.8637232491986229
1.725,718.7478260869565,126546.61818413448,12654661.818413448,2.482230216461031,0.7237988999108641,2.5170704630042273,0.7386560198958078
1.75,708.4799999999999,110399.5957334356,11039959.57334356,2.512867462489137,0.6224233961192298,2.552052358604981,0.6368647745489197
1.7750000000000001,698.5014084507042,98928.20379414216,9892820.379414216,2.571614547436659,0.5498930628657248,2.6146380401965423,0.564912897040605
1.8,688.8,92033.90513769281,9203390.51376928,2.644828888558063,0.5044659054398819,2.6914008555670357,0.5207043934392827
1.8250000000000002,679.3643835616438,89225.65326643772,8922565.326643772,2.7252840379215466,0.4823733899687721,2.7753012971066275,0.5004271073010784
1.85,670.1837837837837,90155.52951296118,9015552.951296117,2.809563509362463,0.4808140109659014,2.86301011405736,0.5013974602994504
1.875,661.2479999999999,94792.8797736699,9479287.977366991,2.895913425355163,0.4988051394605634,2.9527426420287033,0.5228538132735076
1.9000000000000001,652.5473684210525,103466.71298395257,10346671.298395257,2.9826393662229425,0.5372835275185658,3.0426043553383697,0.5660342420066228
