0.000000, 6.472220, -0.000000, 6.164134, -0.000000
0.025000, 6.472949, 0.005936, 6.164805, 0.005463
0.050000, 6.475137, 0.011890, 6.166819, 0.010943
0.075000, 6.478792, 0.017881, 6.170183, 0.016456
0.100000, 6.483925, 0.023927, 6.174906, 0.022021
0.125000, 6.490550, 0.030048, 6.181003, 0.027654
0.150000, 6.498688, 0.036264, 6.188493, 0.033374
0.175000, 6.508365, 0.042598, 6.197399, 0.039202
0.200000, 6.519611, 0.049072, 6.207748, 0.045159
0.225000, 6.532461, 0.055712, 6.219573, 0.051268
0.250000, 6.546957, 0.062545, 6.232913, 0.057555
0.275000, 6.563146, 0.069602, 6.247811, 0.064046
0.300000, 6.581083, 0.076914, 6.264317, 0.070772
0.325000, 6.600832, 0.084519, 6.282489, 0.077768
0.350000, 6.622462, 0.092457, 6.302392, 0.085069
0.375000, 6.646055, 0.100776, 6.324100, 0.092720
0.400000, 6.671702, 0.109529, 6.347697, 0.100770
0.425000, 6.699506, 0.118778, 6.373278, 0.109276
0.450000, 6.729584, 0.128594, 6.400950, 0.118302
0.475000, 6.762070, 0.139060, 6.430837, 0.127926
0.500000, 6.797114, 0.150276, 6.463075, 0.138239
0.525000, 6.834888, 0.162359, 6.497824, 0.149349
0.550000, 6.875587, 0.175449, 6.535262, 0.161384
0.575000, 6.919434, 0.189717, 6.575594, 0.174503
0.600000, 6.966685, 0.205372, 6.619057, 0.188894
0.625000, 7.017636, 0.222668, 6.665921, 0.204796
0.650000, 7.072626, 0.241929, 6.716499, 0.222503
0.675000, 7.132047, 0.263560, 6.771151, 0.242387
0.700000, 7.196350, 0.288080, 6.830293, 0.264925
0.725000, 7.266053, 0.316161, 6.894402, 0.290734
0.750000, 7.341750, 0.348685, 6.964024, 0.320622
0.775000, 7.424108, 0.386826, 7.039776, 0.355665
0.800000, 7.513855, 0.432171, 7.122333, 0.397317
0.825000, 7.611744, 0.486895, 7.212392, 0.447567
0.850000, 7.718442, 0.554026, 7.310584, 0.509184
0.875000, 7.834304, 0.637825, 7.417262, 0.586063
0.900000, 7.958862, 0.744332, 7.532058, 0.683724
0.925000, 8.089773, 0.882064, 7.652932, 0.809959
0.950000, 8.220640, 1.062664, 7.774231, 0.975458
0.975000, 8.336806, 1.300623, 7.882914, 1.193653
1.000000, 8.408247, 1.609258, 7.952067, 1.477337
1.025000, 8.381889, 1.986394, 7.933513, 1.826151
1.050000, 8.188653, 2.382760, 7.762639, 2.198014
1.075000, 7.798463, 2.674168, 7.406166, 2.480995
1.100000, 7.307631, 2.719722, 6.945208, 2.540098
1.125000, 6.907254, 2.508401, 6.557369, 2.354073
1.150000, 6.712272, 2.173392, 6.358716, 2.042358
1.175000, 6.704930, 1.848252, 6.338933, 1.733468
1.200000, 6.817222, 1.592351, 6.434973, 1.487375
1.225000, 6.993631, 1.413203, 6.593371, 1.313131
1.250000, 7.202379, 1.300062, 6.783017, 1.201085
1.275000, 7.428364, 1.240362, 6.988931, 1.139259
1.300000, 7.665705, 1.224793, 7.205136, 1.118546
1.325000, 7.913164, 1.248111, 7.430213, 1.133585
1.350000, 8.171698, 1.308927, 7.664913, 1.182558
1.375000, 8.443088, 1.409565, 7.910863, 1.267002
1.400000, 8.728928, 1.556339, 8.169652, 1.391981
1.425000, 9.029372, 1.760358, 8.441803, 1.566735
1.450000, 9.340914, 2.038858, 8.724981, 1.805813
1.475000, 9.651990, 2.416730, 9.010493, 2.130490
