timestamp,phase,status,exit_code,log_file
2026-05-18T22:44:00-07:00,MAPbI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_MAPbI3_score_20260518_224358.log
2026-05-18T22:44:05-07:00,MASnI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_MASnI3_score_20260518_224404.log
2026-05-18T22:44:09-07:00,FAPbI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_FAPbI3_score_20260518_224408.log
2026-05-18T22:44:10-07:00,FAPbI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_FAPbI3_score_20260518_224408.log
2026-05-18T22:44:22-07:00,FASnI3,failed,42,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_FASnI3_20260518_224409.log
2026-05-18T22:44:22-07:00,FASnI3,failed,42,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_FASnI3_20260518_224410.log
2026-05-18T22:45:15-07:00,CsSnI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_CsSnI3_score_20260518_224513.log
2026-05-18T22:45:16-07:00,CsSnI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_CsSnI3_score_20260518_224515.log
2026-05-18T22:46:09-07:00,CsPbI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_CsPbI3_score_20260518_224608.log
2026-05-18T22:46:10-07:00,CsPbI3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_CsPbI3_score_20260518_224608.log
2026-05-18T22:47:24-07:00,FAPbBr3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_FAPbBr3_score_20260518_224723.log
2026-05-18T22:47:25-07:00,FAPbBr3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_FAPbBr3_score_20260518_224723.log
2026-05-18T22:47:29-07:00,FASnBr3,done,0,/home/luis-ochoa/Documents/Vscode/py/dft/calculations/top8_r2scan/logs/r2scan_FASnBr3_score_20260518_224728.log
