energy_eV,wavelength_nm,alpha_cm1,alpha_m1,n,k,n_raw,k_raw
1.05,1180.8,0.0,0.0,2.8255131117129313,0.0,2.8525116882358614,0.4014684689016102
1.075,1153.339534883721,0.0,0.0,2.7749657304891997,0.0,2.795506402681409,0.46102228518017785
1.1,1127.1272727272726,0.0,0.0,2.715804812510249,0.0,2.7131735367487244,0.4846556927485551
1.125,1102.08,0.0,0.0,2.6587723524217433,0.0,2.635352872330711,0.46127352157015156
1.15,1078.121739130435,0.0,0.0,2.6144226016248977,0.0,2.588677601969663,0.40713354926781287
1.175,1055.1829787234042,0.0,0.0,2.590934455072977,0.0,2.577331144166169,0.34742528216710533
1.2,1033.2,0.0,0.0,2.591659313234383,0.0,2.591212986730703,0.2971316923551743
1.225,1012.1142857142855,0.0,0.0,2.6135126027803732,0.0,2.619390886149283,0.26020686855255243
1.25,991.872,0.0,0.0,2.648729346658711,0.0,2.654839175248261,0.23552716708029126
1.275,972.4235294117647,0.0,0.0,2.6898451976842965,0.0,2.6939586338384642,0.22082939304541313
1.3,953.7230769230769,0.0,0.0,2.732944588187391,0.0,2.7351956464024374,0.2141838558314981
1.325,935.7283018867925,0.0,0.0,2.777038835019596,0.0,2.7780615844247394,0.21433074174390415
1.35,918.3999999999999,0.0,0.0,2.822393008041854,0.0,2.822587896646568,0.22067381878169817
1.375,901.7018181818181,0.0,0.0,2.869634689366098,0.0,2.869036621869629,0.2332287238508474
1.4,885.6,0.0,0.0,2.9194908822550234,0.0,2.917723032926122,0.25262164766228623
1.425,870.0631578947367,0.0,0.0,2.9726835049776947,0.0,2.9688517731122297,0.28016664810721037
1.45,855.0620689655173,0.0,0.0,3.029550394099365,0.0,3.022265683919206,0.31802887321063744
1.475,840.5694915254236,0.0,0.0,3.0886360200904353,0.0,3.0769691747486325,0.36945608988522594
1.5,826.56,0.0,0.0,3.1435901314089296,0.0,3.1301821073610343,0.4389601636175734
1.525,813.0098360655737,0.0,0.0,3.1806919099449926,0.0,3.175570168051376,0.5320003686256657
1.55,799.8967741935484,0.0,0.0,3.1826027265793533,0.0,3.200487750871027,0.6528888446554179
1.575,787.1999999999999,0.0,0.0,3.1377529575464935,0.0,3.1838639901444563,0.7983695308180142
1.6,774.8999999999999,149828.51038447832,14982851.03844783,3.0470009502977926,0.9239112569564534,3.1016763349329315,0.9458988247603342
1.625,762.9784615384615,163031.97123952777,16303197.123952778,2.923472638193606,0.989863234303956,2.9493917356429735,1.0487114046672088
1.65,751.4181818181818,167685.2931599799,16768529.31599799,2.7882693902821307,1.0026902911803577,2.7656189800621678,1.0624414538599785
1.675,740.2029850746268,163285.26098273904,16328526.098273903,2.6654050161016274,0.9618070428386489,2.6130477814648803,0.9868230379447643
1.7,729.3176470588235,151219.46734000926,15121946.734000925,2.576884698122656,0.8776362682148084,2.5304407424806907,0.863723249198624
1.725,718.7478260869565,134635.71262857472,13463571.262857473,2.5374391871608206,0.7700642352126829,2.5170704630042273,0.7386560198958078
1.75,708.4799999999999,117686.37943830535,11768637.943830535,2.549583748620147,0.6635045922422245,2.552052358604981,0.6368647745489197
1.775,698.5014084507042,104016.41487122381,10401641.487122381,2.602877432261743,0.5781749919624483,2.6146380401965414,0.5649128970406054
1.8,688.8,95430.24200953213,9543024.200953213,2.68076301618139,0.5230814267172381,2.6914008555670357,0.5207043934392827
1.825,679.3643835616438,92002.28579947387,9200228.579947388,2.769824560056825,0.4973836766122556,2.7753012971066267,0.5004271073010784
1.85,670.1837837837837,93244.96587628897,9324496.587628897,2.8632253508792997,0.4972896786790169,2.86301011405736,0.5013974602994504
1.875,661.2479999999999,99069.11316795442,9906911.316795442,2.958011217735543,0.5213060712154095,2.9527426420287033,0.5228538132735076
1.9,652.5473684210526,109959.13633474293,10995913.633474292,3.050323472830159,0.5709965689464694,3.042604355338369,0.5660342420066222
1.925,644.0727272727272,126293.53574544268,12629353.574544268,3.132358691144109,0.6473008357045898,3.1289172088861923,0.6338342843868241
1.95,635.8153846153846,147391.641046745,14739164.1046745,3.194788970952706,0.7457513057441196,3.2041607064255384,0.7294112917973
1.975,627.7670886075948,171552.67604461635,17155267.604461636,3.232741516239207,0.8570105664423986,3.2553913039024915,0.8521502458627604
2.0,619.92,197203.6785474348,19720367.85474348,3.2478455989311863,0.9728386035776646,3.2675295274871696,0.9903752889690474
2.025,612.2666666666667,223867.80972786725,22386780.972786725,3.243755990060655,1.0907429188776845,3.237530842110044,1.1189827762811047
2.05,604.8000000000001,251840.52644933414,25184052.644933414,3.2196261504038137,1.2120695391755687,3.187501756332377,1.2188674852591599
2.075,597.5132530120482,280726.5260280736,28072652.60280736,3.1688787158723994,1.3348151580229322,3.144521687837457,1.3031408769891797
2.1,590.4,308462.85169441433,30846285.16944143,3.0852942212064756,1.4492368021701016,3.103397070120926,1.4030446802704286
2.125,583.4541176470588,331865.293690841,33186529.3690841,2.9693878389508623,1.540844035642393,3.026697927004708,1.5257758162110828
2.15,576.6697674418605,347804.1586437676,34780415.86437676,2.8292372225962725,1.5960705714920653,2.8829130855986866,1.6344321212935522
2.175,570.0413793103448,353780.46562910196,35378046.5629102,2.6781478917110637,1.6048349264013295,2.6863598974757164,1.6719733845865312
2.2,563.5636363636363,348150.45792259066,34815045.79225907,2.534305382078519,1.5613492876322104,2.495172165448121,1.611739785209469
2.225,557.2314606741572,331069.91935298056,33106991.935298055,2.420563286601249,1.468065684259978,2.3659336366908823,1.4777433719104762
2.25,551.04,305614.52422130987,30561452.422130987,2.3588641945071083,1.340130994023675,2.3202051371824486,1.3185176823265683
2.275,544.9846153846154,277568.0004478412,27756800.044784117,2.361185476675002,1.2037707195607612,2.3475810177783676,1.1748121701077652
2.3,539.0608695652174,253519.90964507338,25351990.964507338,2.4240476843374887,1.0875269171928508,2.425796737726267,1.0673278843745246
2.325,533.2645161290321,238539.29624955673,23853929.624955673,2.531764759803396,1.0122615852736934,2.535815698167291,1.002830372032911
2.35,527.5914893617021,235416.63513384818,23541663.51338482,2.6652504807386967,0.9883825406904981,2.6639894615429225,0.9837249875914253
2.375,522.0378947368421,245649.76462654537,24564976.46265454,2.806698061337487,1.0204894468233228,2.79900907834822,1.0119183863710317
2.4,516.6,270068.4212098727,27006842.12098727,2.936904619059969,1.1102437663075002,2.9293767770753805,1.0896438877305479
2.425,511.2742268041237,307695.73250215955,30769573.250215955,3.033479092999178,1.2518880952485145,3.0406574489902107,1.2190661270413738
2.45,506.05714285714276,354584.6862838834,35458468.62838834,3.077389845564459,1.4279390505694467,3.1119999609700275,1.3992304160064029
2.475,500.9454545454545,404901.01563696837,40490101.56369684,3.06124507946855,1.6140963015399723,3.1148218635931637,1.6165827358715639
2.5,495.936,453211.3088638176,45321130.88638176,2.9891649857340403,1.788613519132216,3.0265290720396427,1.8313636241612812
2.525,491.02574257425744,495403.2560502743,49540325.60502743,2.8703989956479057,1.9357677657368366,2.8623271777259998,1.9877642899370354
2.55,486.21176470588233,528095.9040870358,52809590.40870358,2.716221039353263,2.0432824189245826,2.678427273771612,2.0617877341966193
2.575,481.4912621359223,548504.5783985915,54850457.83985915,2.5414945023356394,2.101642310618241,2.518797204894276,2.082873222110078
2.6,476.86153846153843,555297.9698973576,55529796.98973576,2.3647616992269316,2.107213390055873,2.3774277487477677,2.0881045712597537
2.625,472.32,549309.3096321409,54930930.96321409,2.204228241243275,2.0646356938493295,2.2289507189554927,2.0752103044106653
2.65,467.8641509433962,532991.0469969881,53299104.69969881,2.07268638884292,1.9844027469533154,2.077381311745046,2.0171631352936155
2.675,463.4915887850467,508924.69075804064,50892469.07580406,1.977480155517939,1.8770918090052822,1.9548729772357605,1.9057739522636483
2.7,459.19999999999993,479537.5394627096,47953753.946270965,1.9257621425450049,1.7523248746910016,1.8896977320921697,1.7603183003861234
2.725,454.9871559633027,448698.53813086735,44869853.81308673,1.9256777120497326,1.624590568065668,1.8927549900105038,1.6115897282527156
2.75,450.85090909090906,422686.9095633583,42268690.95633583,1.9789921425711536,1.516498146407606,1.958002647673626,1.4906085563611022
2.775,446.7891891891892,408382.9405857704,40838294.05857704,2.0731029618127863,1.451979163295733,2.0658253350110862,1.4203060637671256
2.8,442.8,409875.30785162945,40987530.78516295,2.182850708191879,1.4442737038912075,2.1909500084355154,1.4112992026723405
2.825,438.88141592920346,426753.96733982314,42675396.73398232,2.2815814380165094,1.4904413628028093,2.3078396740543248,1.464713098575681
2.85,435.03157894736836,455315.59002955817,45531559.00295582,2.3512002850554694,1.5762439779038169,2.3895767710297853,1.5722055033121893
2.875,431.24869565217386,491021.53488277574,49102153.48827758,2.384213101723,1.685072030370989,2.4133278165969876,1.7084857770437494
2.9,427.5310344827586,529911.1965318026,52991119.653180264,2.3796229981499253,1.8028553270453676,2.379624921971722,1.8354121524248777
2.925,423.87692307692305,568595.6843684107,56859568.43684107,2.33984364538806,1.917933161142804,2.317737716258129,1.9312506624893224
