file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\6\Efield_y.csv,6,0.0,0.6,Efield_y,au,6.749999670319085e-08,1210836.0,385962.1957883473,0,703244999.637291
sim\snapshots\6\Eg.csv,6,0.0,0.6,Eg,eV,6.749999670319085e-08,1.600000023841858,0.7158016358818919,0,2610.90617804632
sim\snapshots\6\epsilon_r.csv,6,0.0,0.6,epsilon_r,au,6.749999670319085e-08,20.0,4.849502954384318,0,32636.343206334936
sim\snapshots\6\Ev.csv,6,0.0,0.6,Ev,eV,-5.267339706420898,0.001224749954417348,-2.218928232291707,9,8595.337131195341
sim\snapshots\6\Fi.csv,6,0.0,0.6,Fi,eV,-3.8595263957977295,0.001224749954417348,-1.7367254043612568,9,6298.043111604351
sim\snapshots\6\Fn.csv,6,0.0,0.6,Fn,eV,-3.823970079421997,0.001224749954417348,-1.66478054771758,9,6240.02170183909
sim\snapshots\6\Fp.csv,6,0.0,0.6,Fp,eV,-4.546059608459473,0.001224749954417348,-2.020384111503133,9,7417.4224453292245
sim\snapshots\6\G_n.csv,6,0.0,0.6,G_n,m^{-3} s^{-1},6.749999670319085e-08,8.791032301798335e+27,6.237690177050829e+26,0,1.3513281578158053e+31
sim\snapshots\6\G_p.csv,6,0.0,0.6,G_p,m^{-3} s^{-1},6.749999670319085e-08,8.791032301798335e+27,6.237690177050829e+26,0,1.3513281578158053e+31
sim\snapshots\6\H_joule_device.csv,6,0.0,0.6,H_joule_device,W m^{-3},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jn.csv,6,0.0,0.6,Jn,A m^{-2},2.2500000085301508e-08,246.6019287109375,34.4658760840693,0,402401.8879569895
sim\snapshots\6\Jn_all.csv,6,0.0,0.6,Jn_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\6\Jn_diffusion.csv,6,0.0,0.6,Jn_diffusion,A m^{-2},-48392524.0,1.136038899421692,-2783369.916880056,8,78967728557.40166
sim\snapshots\6\Jn_drift.csv,6,0.0,0.6,Jn_drift,A m^{-2},6.749999670319085e-08,48392772.0,2783401.626985461,0,78967730838.78758
sim\snapshots\6\Jn_drift_plus_diffusion.csv,6,0.0,0.6,Jn_drift_plus_diffusion,A m^{-2},6.749999670319085e-08,248.93453979492188,31.748408219715582,0,402409.275261502
sim\snapshots\6\Jn_plus_Jp.csv,6,0.0,0.6,Jn_plus_Jp,A m^{-2},6.749999670319085e-08,246.6019287109375,110.97092939366959,0,402409.275261502
sim\snapshots\6\Jn_x.csv,6,0.0,0.6,Jn_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jn_x_diffusion.csv,6,0.0,0.6,Jn_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jn_x_drift.csv,6,0.0,0.6,Jn_x_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jn_z.csv,6,0.0,0.6,Jn_z,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jn_z_diffusion.csv,6,0.0,0.6,Jn_z_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\6\Jn_z_drift.csv,6,0.0,0.6,Jn_z_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
